client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:13.295286Z,2020-12-07T19:23:13.329029Z
127.0.0.1:60340,ReadOnlyEarlyRelease,Ok,2020-12-07T19:23:13.343013Z,2020-12-07T19:23:13.774039Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:13.784820Z,2020-12-07T19:23:13.864130Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:13.865442Z,2020-12-07T19:23:13.926442Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:13.932968Z,2020-12-07T19:23:13.938091Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:13.944496Z,2020-12-07T19:23:24.027610Z
127.0.0.1:60340,WriteOnly,Ok,2020-12-07T19:23:24.031698Z,2020-12-07T19:23:24.068028Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:24.069537Z,2020-12-07T19:23:24.104151Z
127.0.0.1:60340,WriteOnly,Ok,2020-12-07T19:23:24.106073Z,2020-12-07T19:23:24.142093Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:24.143726Z,2020-12-07T19:23:24.178315Z
127.0.0.1:60340,WriteOnlyEarlyRelease,Ok,2020-12-07T19:23:24.180625Z,2020-12-07T19:23:24.216842Z
127.0.0.1:60340,ReadOnlyEarlyRelease,Ok,2020-12-07T19:23:24.218795Z,2020-12-07T19:23:24.258687Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:24.260423Z,2020-12-07T19:23:24.295771Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:24.298202Z,2020-12-07T19:23:24.336543Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:24.338643Z,2020-12-07T19:23:24.340370Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:24.342128Z,2020-12-07T19:23:31.581172Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:31.597850Z,2020-12-07T19:23:31.667882Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:31.669205Z,2020-12-07T19:23:31.671154Z
127.0.0.1:60340,ReadOnlyEarlyRelease,Ok,2020-12-07T19:23:31.679977Z,2020-12-07T19:23:34.261811Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:34.265697Z,2020-12-07T19:23:38.341961Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:38.344099Z,2020-12-07T19:23:38.378601Z
127.0.0.1:60340,WriteOnlyEarlyRelease,Ok,2020-12-07T19:23:38.381398Z,2020-12-07T19:23:38.424060Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:38.426185Z,2020-12-07T19:23:38.464380Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:38.466039Z,2020-12-07T19:23:38.505140Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:38.507692Z,2020-12-07T19:23:38.510169Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:38.511726Z,2020-12-07T19:23:39.872946Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:39.874509Z,2020-12-07T19:23:42.042269Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:42.043614Z,2020-12-07T19:23:42.081812Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:42.083098Z,2020-12-07T19:23:42.084366Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:42.085563Z,2020-12-07T19:23:42.868515Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:42.871266Z,2020-12-07T19:23:42.937995Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:42.939624Z,2020-12-07T19:23:42.940777Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:42.942212Z,2020-12-07T19:23:43.054628Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:43.063934Z,2020-12-07T19:23:43.139251Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:43.153102Z,2020-12-07T19:23:43.204346Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:43.218023Z,2020-12-07T19:23:43.234218Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:43.235560Z,2020-12-07T19:23:43.369216Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:43.372217Z,2020-12-07T19:23:43.420020Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:43.425097Z,2020-12-07T19:23:43.429981Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:43.432608Z,2020-12-07T19:23:43.584849Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:43.586420Z,2020-12-07T19:23:43.642352Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:43.645500Z,2020-12-07T19:23:43.648485Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:43.649709Z,2020-12-07T19:23:48.796777Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:48.802428Z,2020-12-07T19:23:48.853498Z
127.0.0.1:60340,BeginTx,Ok,2020-12-07T19:23:48.857188Z,2020-12-07T19:23:48.860807Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:48.872319Z,2020-12-07T19:23:49.417379Z
127.0.0.1:60340,ReadOnly,Ok,2020-12-07T19:23:49.420502Z,2020-12-07T19:23:49.498986Z
127.0.0.1:60340,Commit,Ok,2020-12-07T19:23:49.500249Z,2020-12-07T19:23:49.550214Z
