client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:52845,BeginTx,Ok,2020-12-07T10:08:34.859910Z,2020-12-07T10:08:34.962469Z
127.0.0.1:52845,ReadOnlyEarlyRelease,Ok,2020-12-07T10:08:34.998392Z,2020-12-07T10:08:35.253220Z
127.0.0.1:52845,ReadOnly,Ok,2020-12-07T10:08:35.256237Z,2020-12-07T10:08:35.297018Z
127.0.0.1:52845,Commit,Ok,2020-12-07T10:08:35.298536Z,2020-12-07T10:08:35.342962Z
127.0.0.1:52845,BeginTx,Ok,2020-12-07T10:08:35.348640Z,2020-12-07T10:08:35.352607Z
127.0.0.1:52845,Commit,Ok,2020-12-07T10:08:35.353934Z,2020-12-07T10:08:35.705548Z
127.0.0.1:52845,BeginTx,Ok,2020-12-07T10:08:35.748655Z,2020-12-07T10:08:35.751549Z
127.0.0.1:52851,BeginTx,Ok,2020-12-07T10:08:34.856947Z,2020-12-07T10:08:34.898155Z
127.0.0.1:52851,ReadOnlyEarlyRelease,Ok,2020-12-07T10:08:34.906925Z,2020-12-07T10:08:35.366152Z
127.0.0.1:52851,ReadOnly,Ok,2020-12-07T10:08:35.368250Z,2020-12-07T10:08:35.414886Z
127.0.0.1:52851,Commit,Ok,2020-12-07T10:08:35.423568Z,2020-12-07T10:08:35.664485Z
127.0.0.1:52851,BeginTx,Ok,2020-12-07T10:08:35.709869Z,2020-12-07T10:08:35.761681Z
127.0.0.1:52851,ReadOnly,Ok,2020-12-07T10:08:35.795647Z,2020-12-07T10:08:39.215038Z
127.0.0.1:51805,BeginTx,Ok,2020-12-07T10:00:51.467822Z,2020-12-07T10:00:51.545354Z
127.0.0.1:51805,ReadOnlyEarlyRelease,Ok,2020-12-07T10:00:51.575282Z,2020-12-07T10:00:51.870028Z
127.0.0.1:51805,ReadOnly,Ok,2020-12-07T10:00:51.873332Z,2020-12-07T10:00:51.955025Z
127.0.0.1:51805,Commit,Ok,2020-12-07T10:00:51.965557Z,2020-12-07T10:00:52.048916Z
127.0.0.1:51805,BeginTx,Ok,2020-12-07T10:00:52.069800Z,2020-12-07T10:00:52.180123Z
127.0.0.1:51805,ReadOnly,Ok,2020-12-07T10:00:52.275733Z,2020-12-07T10:00:56.251831Z
127.0.0.1:51802,BeginTx,Ok,2020-12-07T10:00:51.424647Z,2020-12-07T10:00:51.517844Z
127.0.0.1:51802,ReadOnlyEarlyRelease,Ok,2020-12-07T10:00:51.544290Z,2020-12-07T10:00:51.801481Z
127.0.0.1:51802,ReadOnly,Ok,2020-12-07T10:00:51.806997Z,2020-12-07T10:00:51.922762Z
127.0.0.1:51802,Commit,Ok,2020-12-07T10:00:51.940900Z,2020-12-07T10:00:52.008943Z
127.0.0.1:51802,BeginTx,Ok,2020-12-07T10:00:52.019597Z,2020-12-07T10:00:52.042831Z
127.0.0.1:51802,ReadOnly,Ok,2020-12-07T10:00:52.048258Z,2020-12-07T10:00:55.595825Z
127.0.0.1:53122,BeginTx,Ok,2020-12-07T10:10:32.166300Z,2020-12-07T10:10:32.286779Z
127.0.0.1:53122,ReadOnlyEarlyRelease,Ok,2020-12-07T10:10:32.313537Z,2020-12-07T10:10:32.471653Z
127.0.0.1:53122,ReadOnly,Ok,2020-12-07T10:10:32.473852Z,2020-12-07T10:10:32.525442Z
127.0.0.1:53122,Commit,Ok,2020-12-07T10:10:32.534232Z,2020-12-07T10:10:32.592094Z
127.0.0.1:53122,BeginTx,Ok,2020-12-07T10:10:32.599535Z,2020-12-07T10:10:32.600991Z
127.0.0.1:53122,ReadOnly,Ok,2020-12-07T10:10:32.608018Z,2020-12-07T10:10:32.756708Z
