client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:58853,BeginTx,Ok,2020-12-07T19:11:43.757371Z,2020-12-07T19:11:43.805780Z
127.0.0.1:58853,ReadOnlyEarlyRelease,Ok,2020-12-07T19:11:43.814142Z,2020-12-07T19:11:44.028735Z
127.0.0.1:58853,ReadOnly,Ok,2020-12-07T19:11:44.032616Z,2020-12-07T19:11:44.072853Z
127.0.0.1:58853,Commit,Ok,2020-12-07T19:11:44.074210Z,2020-12-07T19:11:44.112874Z
127.0.0.1:58853,BeginTx,Ok,2020-12-07T19:11:44.114903Z,2020-12-07T19:11:44.123468Z
127.0.0.1:58853,ReadOnly,Ok,2020-12-07T19:11:44.131112Z,2020-12-07T19:11:49.580362Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:49.582236Z,2020-12-07T19:11:49.636097Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:49.637516Z,2020-12-07T19:11:49.685861Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:49.687974Z,2020-12-07T19:11:49.735942Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:49.739441Z,2020-12-07T19:11:49.787852Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:49.789646Z,2020-12-07T19:11:49.839890Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:49.842328Z,2020-12-07T19:11:49.891356Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:49.893500Z,2020-12-07T19:11:49.947166Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:49.949268Z,2020-12-07T19:11:49.998896Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:50.001131Z,2020-12-07T19:11:50.056154Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:50.058059Z,2020-12-07T19:11:50.112197Z
127.0.0.1:58853,WriteOnly,Ok,2020-12-07T19:11:50.114233Z,2020-12-07T19:11:50.164844Z
127.0.0.1:58853,ReadOnly,Ok,2020-12-07T19:11:50.166347Z,2020-12-07T19:11:50.217144Z
