client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:62219,BeginTx,Ok,2020-12-07T17:29:19.736802Z,2020-12-07T17:29:19.769037Z
127.0.0.1:62219,ReadOnlyEarlyRelease,Ok,2020-12-07T17:29:19.821445Z,2020-12-07T17:29:20.116141Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:20.118034Z,2020-12-07T17:29:20.184374Z
127.0.0.1:62219,Commit,Ok,2020-12-07T17:29:20.192502Z,2020-12-07T17:29:20.259209Z
127.0.0.1:62219,BeginTx,Ok,2020-12-07T17:29:20.264156Z,2020-12-07T17:29:20.268221Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:20.269872Z,2020-12-07T17:29:24.370002Z
127.0.0.1:62219,WriteOnly,Ok,2020-12-07T17:29:24.371699Z,2020-12-07T17:29:24.419843Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:24.421530Z,2020-12-07T17:29:24.471851Z
127.0.0.1:62219,WriteOnly,Ok,2020-12-07T17:29:24.474152Z,2020-12-07T17:29:24.524887Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:24.526655Z,2020-12-07T17:29:24.576935Z
127.0.0.1:62219,WriteOnlyEarlyRelease,Ok,2020-12-07T17:29:24.578676Z,2020-12-07T17:29:24.630028Z
127.0.0.1:62219,ReadOnlyEarlyRelease,Ok,2020-12-07T17:29:24.631763Z,2020-12-07T17:29:24.683945Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:24.685675Z,2020-12-07T17:29:24.761210Z
127.0.0.1:62219,Commit,Ok,2020-12-07T17:29:24.762612Z,2020-12-07T17:29:24.813914Z
127.0.0.1:62219,BeginTx,Ok,2020-12-07T17:29:24.815205Z,2020-12-07T17:29:24.816643Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:24.817875Z,2020-12-07T17:29:31.524664Z
127.0.0.1:62219,Commit,Ok,2020-12-07T17:29:31.528069Z,2020-12-07T17:29:31.579576Z
127.0.0.1:62219,BeginTx,Ok,2020-12-07T17:29:31.593221Z,2020-12-07T17:29:31.612307Z
127.0.0.1:62219,ReadOnlyEarlyRelease,Ok,2020-12-07T17:29:31.631285Z,2020-12-07T17:29:33.405125Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:33.409862Z,2020-12-07T17:29:35.270861Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:35.272875Z,2020-12-07T17:29:35.312837Z
127.0.0.1:62219,WriteOnlyEarlyRelease,Ok,2020-12-07T17:29:35.316402Z,2020-12-07T17:29:35.355525Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:35.356978Z,2020-12-07T17:29:35.393470Z
127.0.0.1:62219,Commit,Ok,2020-12-07T17:29:35.394829Z,2020-12-07T17:29:35.431990Z
127.0.0.1:62219,BeginTx,Ok,2020-12-07T17:29:35.435044Z,2020-12-07T17:29:35.437059Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:35.438935Z,2020-12-07T17:29:39.265367Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:39.268407Z,2020-12-07T17:29:40.312028Z
127.0.0.1:62219,Commit,Ok,2020-12-07T17:29:40.313264Z,2020-12-07T17:29:40.365342Z
127.0.0.1:62219,BeginTx,Ok,2020-12-07T17:29:40.366976Z,2020-12-07T17:29:40.368470Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:40.369962Z,2020-12-07T17:29:42.120811Z
127.0.0.1:62219,Commit,Ok,2020-12-07T17:29:42.122823Z,2020-12-07T17:29:42.166358Z
127.0.0.1:62219,BeginTx,Ok,2020-12-07T17:29:42.168481Z,2020-12-07T17:29:42.170961Z
127.0.0.1:62219,ReadOnly,Ok,2020-12-07T17:29:42.177556Z,2020-12-07T17:29:42.299615Z
127.0.0.1:62219,Commit,Ok,2020-12-07T17:29:42.303020Z,2020-12-07T17:29:43.785249Z
127.0.0.1:62219,BeginTx,Ok,2020-12-07T17:29:43.787629Z,2020-12-07T17:29:43.793141Z
127.0.0.1:62219,WriteOnly,Ok,2020-12-07T17:29:43.799306Z,2020-12-07T17:29:49.014979Z
