client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:12.128356Z,2020-12-07T09:53:12.231605Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:12.233053Z,2020-12-07T09:53:15.665204Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:15.667067Z,2020-12-07T09:53:15.668553Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:15.670660Z,2020-12-07T09:53:18.771297Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:18.773129Z,2020-12-07T09:53:18.807650Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:18.809964Z,2020-12-07T09:53:18.844427Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:18.847364Z,2020-12-07T09:53:18.883915Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:18.885501Z,2020-12-07T09:53:18.921977Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:18.924466Z,2020-12-07T09:53:18.961610Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:18.964138Z,2020-12-07T09:53:19.001063Z
127.0.0.1:50782,WriteOnlyEarlyRelease,Ok,2020-12-07T09:53:19.002917Z,2020-12-07T09:53:19.037751Z
127.0.0.1:50782,ReadOnlyEarlyRelease,Ok,2020-12-07T09:53:19.039407Z,2020-12-07T09:53:19.073165Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:19.075207Z,2020-12-07T09:53:19.110231Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:19.117648Z,2020-12-07T09:53:19.152771Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:19.154702Z,2020-12-07T09:53:19.156257Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:19.157998Z,2020-12-07T09:53:23.705851Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:23.711118Z,2020-12-07T09:53:23.753220Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:23.755632Z,2020-12-07T09:53:23.759506Z
127.0.0.1:50782,ReadOnlyEarlyRelease,Ok,2020-12-07T09:53:23.766747Z,2020-12-07T09:53:26.425118Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:26.427735Z,2020-12-07T09:53:27.123865Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:27.125610Z,2020-12-07T09:53:27.159612Z
127.0.0.1:50782,WriteOnlyEarlyRelease,Ok,2020-12-07T09:53:27.162017Z,2020-12-07T09:53:27.198420Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:27.200244Z,2020-12-07T09:53:27.235212Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:27.236934Z,2020-12-07T09:53:27.273553Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:27.275643Z,2020-12-07T09:53:27.277659Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:27.279303Z,2020-12-07T09:53:28.183132Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:28.185199Z,2020-12-07T09:53:29.454596Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:29.456869Z,2020-12-07T09:53:29.507380Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:29.510018Z,2020-12-07T09:53:29.511742Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:29.513607Z,2020-12-07T09:53:30.041839Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:30.043385Z,2020-12-07T09:53:30.081391Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:30.083177Z,2020-12-07T09:53:30.084711Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:30.087917Z,2020-12-07T09:53:30.200212Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:30.202090Z,2020-12-07T09:53:30.258538Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:30.268026Z,2020-12-07T09:53:30.312409Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:30.313857Z,2020-12-07T09:53:30.315484Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:30.316922Z,2020-12-07T09:53:33.107085Z
127.0.0.1:50782,Commit,Ok,2020-12-07T09:53:33.108949Z,2020-12-07T09:53:33.150684Z
127.0.0.1:50782,BeginTx,Ok,2020-12-07T09:53:33.152325Z,2020-12-07T09:53:33.154208Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:33.155961Z,2020-12-07T09:53:33.948719Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:33.964040Z,2020-12-07T09:53:34.018510Z
127.0.0.1:50782,WriteOnly,Ok,2020-12-07T09:53:34.024880Z,2020-12-07T09:53:34.061938Z
127.0.0.1:50782,ReadOnly,Ok,2020-12-07T09:53:34.064221Z,2020-12-07T09:53:34.101813Z
127.0.0.1:50782,WriteOnlyEarlyRelease,Ok,2020-12-07T09:53:34.114096Z,2020-12-07T09:53:34.148254Z
127.0.0.1:50782,ReadOnlyEarlyRelease,Ok,2020-12-07T09:53:34.155864Z,2020-12-07T09:53:34.189863Z
