client_addr,request_type,request_result,initial_timestamp,final_timestamp
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:09.195875Z,2020-12-07T09:50:09.205961Z
127.0.0.1:50399,ReadOnlyEarlyRelease,Ok,2020-12-07T09:50:09.210816Z,2020-12-07T09:50:09.405508Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:09.407849Z,2020-12-07T09:50:09.445866Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:09.451697Z,2020-12-07T09:50:09.487575Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:09.494727Z,2020-12-07T09:50:09.501032Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:09.504509Z,2020-12-07T09:50:09.606870Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:09.608643Z,2020-12-07T09:50:09.646985Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:09.648983Z,2020-12-07T09:50:09.684921Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:09.686236Z,2020-12-07T09:50:09.687587Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:09.689199Z,2020-12-07T09:50:09.828390Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:09.830060Z,2020-12-07T09:50:09.883489Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:09.884812Z,2020-12-07T09:50:09.886255Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:09.887926Z,2020-12-07T09:50:10.027524Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:10.029117Z,2020-12-07T09:50:10.079417Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:10.082966Z,2020-12-07T09:50:10.084901Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:10.086890Z,2020-12-07T09:50:11.715273Z
127.0.0.1:50399,WriteOnly,Err,2020-12-07T09:50:11.718079Z,2020-12-07T09:50:11.763094Z
127.0.0.1:50399,ReadOnly,Err,2020-12-07T09:50:11.764912Z,2020-12-07T09:50:11.817345Z
127.0.0.1:50399,ReadOnly,Err,2020-12-07T09:50:11.818932Z,2020-12-07T09:50:11.854651Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:11.856457Z,2020-12-07T09:50:11.891273Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:11.892882Z,2020-12-07T09:50:11.894128Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:11.895553Z,2020-12-07T09:50:12.053192Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:12.055194Z,2020-12-07T09:50:12.095765Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:12.097318Z,2020-12-07T09:50:12.098810Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:12.101722Z,2020-12-07T09:50:12.312661Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:12.314384Z,2020-12-07T09:50:12.350483Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:12.352161Z,2020-12-07T09:50:12.353651Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:12.356476Z,2020-12-07T09:50:12.454676Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:12.456747Z,2020-12-07T09:50:12.492282Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:12.493807Z,2020-12-07T09:50:12.526399Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:12.528106Z,2020-12-07T09:50:12.529652Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:12.532509Z,2020-12-07T09:50:12.742957Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:12.763577Z,2020-12-07T09:50:12.807563Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:12.809074Z,2020-12-07T09:50:12.810539Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:12.812067Z,2020-12-07T09:50:13.118619Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:13.121162Z,2020-12-07T09:50:13.158747Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:13.162425Z,2020-12-07T09:50:13.164828Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:13.166932Z,2020-12-07T09:50:13.864874Z
127.0.0.1:50399,WriteOnly,Ok,2020-12-07T09:50:13.866968Z,2020-12-07T09:50:13.917974Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:13.919709Z,2020-12-07T09:50:13.967623Z
127.0.0.1:50399,WriteOnlyEarlyRelease,Ok,2020-12-07T09:50:13.969068Z,2020-12-07T09:50:14.017913Z
127.0.0.1:50399,ReadOnlyEarlyRelease,Ok,2020-12-07T09:50:14.019528Z,2020-12-07T09:50:14.073892Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:14.075722Z,2020-12-07T09:50:14.127074Z
127.0.0.1:50399,Commit,Ok,2020-12-07T09:50:14.128477Z,2020-12-07T09:50:14.185821Z
127.0.0.1:50399,BeginTx,Ok,2020-12-07T09:50:14.192409Z,2020-12-07T09:50:14.194191Z
127.0.0.1:50399,ReadOnly,Ok,2020-12-07T09:50:14.195538Z,2020-12-07T09:50:14.379055Z
